Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
ResNet-50,67.19576719576719,1.0858520818135096,0.7105048294072684,0.6905430902600714,0.655083576760792,0.7385641893320303,0.671957671957672,0.6690927840716869,0.7195121951219512,0.7972972972972973,0.7564102564102564,74.0,0.8076923076923077,0.3962264150943396,0.5316455696202531,53.0,0.8888888888888888,0.6486486486486487,0.75,37.0,0.4259259259259259,0.92,0.5822784810126582,25.0,0.8594382827780388,0.8443026044436979,0.8826086956521739,0.8063263041065483,0.8397937411095305,0.9090243902439026,0.8826086956521739,0.8063263041065483,0.8397937411095305,0.9090243902439026,0.8443026044436979
MobileNetV3 Large,60.31746031746032,1.910305669068029,0.626123141564318,0.6729500254971953,0.6241173767752715,0.6411350295103797,0.6031746031746031,0.6032790353308315,0.7254901960784313,0.5,0.592,74.0,0.4423076923076923,0.4339622641509434,0.4380952380952381,53.0,0.8857142857142857,0.8378378378378378,0.8611111111111112,37.0,0.4509803921568627,0.92,0.6052631578947368,25.0,0.8296256153046584,0.8058005095042131,0.7512338425381904,0.7146226415094339,0.9567923186344238,0.8958536585365854,0.7512338425381904,0.7146226415094339,0.9567923186344238,0.8958536585365854,0.8058005095042131
EfficientNet-B4,59.78835978835979,1.447589751273867,0.607636855971897,0.6416751657317694,0.5882628514130115,0.6631172581357984,0.5978835978835979,0.6026303262449126,0.8333333333333334,0.6081081081081081,0.703125,74.0,0.53125,0.320754716981132,0.4,53.0,0.7380952380952381,0.8378378378378378,0.7848101265822784,37.0,0.3278688524590163,0.8,0.4651162790697674,25.0,0.8623162534263888,0.8277950411989212,0.8591069330199765,0.7609600443951166,0.9706614509246088,0.8585365853658536,0.8591069330199765,0.7609600443951166,0.9706614509246088,0.8585365853658536,0.8277950411989212
EfficientNet-B5,59.25925925925926,1.1070979852525016,0.551866891035021,0.5792580316165222,0.5411616708539086,0.6124893480517323,0.5925925925925926,0.576011412583361,0.7777777777777778,0.4729729729729729,0.5882352941176471,74.0,0.5522388059701493,0.6981132075471698,0.6166666666666667,53.0,0.5833333333333334,0.945945945945946,0.7216494845360825,37.0,0.2941176470588235,0.2,0.238095238095238,25.0,0.8564624148983004,0.8638709255993207,0.8511163337250295,0.865149833518313,0.9742176386913228,0.7353658536585366,0.8511163337250295,0.865149833518313,0.9742176386913228,0.7353658536585366,0.8638709255993207
RegNet-Y-800MF,58.73015873015873,1.5956357490448725,0.5619951105442177,0.6084319224885263,0.5676265477119129,0.6019879512651621,0.5873015873015873,0.580598719003831,0.734375,0.6351351351351351,0.6811594202898551,74.0,0.5,0.320754716981132,0.3908045977011494,53.0,0.6326530612244898,0.8378378378378378,0.7209302325581395,37.0,0.3809523809523809,0.64,0.4776119402985074,25.0,0.8357477428801412,0.8288308464675307,0.845475910693302,0.7848224195338512,0.9022048364153626,0.8104878048780488,0.845475910693302,0.7848224195338512,0.9022048364153626,0.8104878048780488,0.8288308464675307
EfficientFormer-L3,58.2010582010582,1.3304688974663064,0.606584602465743,0.6135160632330443,0.579013041556145,0.6365471762624325,0.582010582010582,0.5834854906693987,0.6056338028169014,0.581081081081081,0.593103448275862,74.0,0.7777777777777778,0.3962264150943396,0.525,53.0,0.6829268292682927,0.7567567567567568,0.717948717948718,37.0,0.36,0.72,0.48,25.0,0.849451186473886,0.8261806780325299,0.7479435957696827,0.918007769145394,0.9313655761024182,0.8004878048780487,0.7479435957696827,0.918007769145394,0.9313655761024182,0.8004878048780487,0.8261806780325299
XCiT-Tiny-P16,57.67195767195767,1.3691275208084672,0.5134093915343916,0.5112442631310556,0.499466995653155,0.5837263094538228,0.5767195767195767,0.5663491538443319,0.7142857142857143,0.8108108108108109,0.759493670886076,74.0,0.6333333333333333,0.3584905660377358,0.4578313253012048,53.0,0.5208333333333334,0.6756756756756757,0.5882352941176471,37.0,0.1851851851851851,0.2,0.1923076923076923,25.0,0.7602398416714988,0.8002482200013065,0.8505287896592244,0.6771642619311875,0.8547297297297297,0.6585365853658537,0.8505287896592244,0.6771642619311875,0.8547297297297297,0.6585365853658537,0.8002482200013065
MaxViT-Tiny,56.08465608465608,1.7143184444891713,0.5690422322775264,0.5984395716471188,0.5757017635542521,0.57185233067586,0.5608465608465608,0.5562448267874337,0.6274509803921569,0.4324324324324324,0.512,74.0,0.4153846153846154,0.5094339622641509,0.4576271186440678,53.0,0.7333333333333333,0.8918918918918919,0.8048780487804879,37.0,0.5,0.56,0.5283018867924528,25.0,0.8032524086524172,0.7852710357119528,0.7099882491186839,0.6644006659267481,0.9610597439544808,0.8775609756097561,0.7099882491186839,0.6644006659267481,0.9610597439544808,0.8775609756097561,0.7852710357119528
VGG16,52.91005291005291,1.1475218275867445,0.5864528633976756,0.521907190209077,0.5101120421805857,0.6752146106154281,0.5291005291005291,0.5602858268708941,0.7857142857142857,0.5945945945945946,0.676923076923077,74.0,0.8695652173913043,0.3773584905660377,0.5263157894736842,53.0,0.5102040816326531,0.6756756756756757,0.5813953488372093,37.0,0.180327868852459,0.44,0.2558139534883721,25.0,0.8205353864345559,0.8086653042561331,0.8274970622796711,0.9196725860155384,0.8632645803698434,0.6717073170731708,0.8274970622796711,0.9196725860155384,0.8632645803698434,0.6717073170731708,0.8086653042561331
GoogleNet,52.38095238095238,1.9813687533297863,0.5509537267349767,0.5776211116777155,0.5305984893349508,0.589320539469349,0.5238095238095238,0.531084311975245,0.7142857142857143,0.4729729729729729,0.5691056910569106,74.0,0.4358974358974359,0.320754716981132,0.3695652173913043,53.0,0.7567567567567568,0.7567567567567568,0.7567567567567568,37.0,0.296875,0.76,0.4269662921348314,25.0,0.7806178915054791,0.7508281776359378,0.746180963572268,0.6534406215316315,0.9030938833570412,0.8197560975609757,0.746180963572268,0.6534406215316315,0.9030938833570412,0.8197560975609757,0.7508281776359378
