Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
MobileNetV3 Large,64.02116402116403,2.454659322582225,0.6383546560965916,0.6551172870984191,0.6133778966131908,0.6476505800622543,0.6402116402116402,0.6140608701393014,0.6703296703296703,0.8243243243243243,0.7393939393939394,74.0,0.5454545454545454,0.2264150943396226,0.32,53.0,0.8709677419354839,0.7297297297297297,0.7941176470588235,37.0,0.4666666666666667,0.84,0.6,25.0,0.7747789071158862,0.7718055672200294,0.7857814336075206,0.5248335183129855,0.9016714082503556,0.8868292682926829,0.7857814336075206,0.5248335183129855,0.9016714082503556,0.8868292682926829,0.7718055672200294
EfficientNet-B2,61.37566137566137,1.3926368718424802,0.563513721862473,0.5843268740438551,0.5699937411985605,0.6231867742814398,0.6137566137566137,0.6149377224420254,0.8333333333333334,0.7432432432432432,0.7857142857142857,74.0,0.4468085106382978,0.3962264150943396,0.42,53.0,0.6739130434782609,0.8378378378378378,0.7469879518072289,37.0,0.3,0.36,0.3272727272727272,25.0,0.8170222919929608,0.8345604359713708,0.8833137485311398,0.6914539400665927,0.933321479374111,0.76,0.8833137485311398,0.6914539400665927,0.933321479374111,0.76,0.8345604359713708
EfficientFormer-L1,57.142857142857146,1.8256908743469804,0.5744946808510638,0.611476287608363,0.5748697095784474,0.6096268152651132,0.5714285714285714,0.5757694729030837,0.75,0.527027027027027,0.6190476190476191,74.0,0.44,0.4150943396226415,0.4271844660194174,53.0,0.725,0.7837837837837838,0.7532467532467533,37.0,0.3829787234042553,0.72,0.5,25.0,0.7895797143824755,0.7713669830071946,0.7520564042303173,0.6441453940066592,0.884068278805121,0.8780487804878049,0.7520564042303173,0.6441453940066592,0.884068278805121,0.8780487804878049,0.7713669830071946
CoAtNet-1,56.08465608465608,1.6080449851101668,0.5370220057720058,0.4667108618052015,0.4548021195562179,0.6395178161051177,0.5608465608465608,0.5503351670929084,1.0,0.6486486486486487,0.7868852459016393,74.0,0.4107142857142857,0.8679245283018868,0.5575757575757576,53.0,0.5555555555555556,0.2702702702702703,0.3636363636363636,37.0,0.1818181818181818,0.08,0.1111111111111111,25.0,0.7034084497126314,0.7000363931580862,0.873090481786134,0.5027746947835738,0.7533783783783784,0.6843902439024391,0.873090481786134,0.5027746947835738,0.7533783783783784,0.6843902439024391,0.7000363931580862
EfficientNet-B6,56.08465608465608,2.0564695741764454,0.482851368159204,0.5204462009178991,0.4724362864423105,0.5382248808865724,0.5608465608465608,0.5243835273955756,0.6125,0.6621621621621622,0.6363636363636364,74.0,0.6,0.3396226415094339,0.4337349397590361,53.0,0.5522388059701493,1.0,0.7115384615384616,37.0,0.1666666666666666,0.08,0.1081081081081081,25.0,0.7423471407338418,0.7865028041394886,0.7877790834312574,0.7527746947835738,0.957859174964438,0.4709756097560975,0.7877790834312574,0.7527746947835738,0.957859174964438,0.4709756097560975,0.7865028041394886
XCiT-Tiny-P16,54.4973544973545,2.066560318230321,0.5131971624266145,0.5629678735339112,0.5171010888558181,0.5454040215781899,0.544973544973545,0.5297825395293099,0.684931506849315,0.6756756756756757,0.6802721088435374,74.0,0.3928571428571428,0.2075471698113207,0.2716049382716049,53.0,0.6,0.6486486486486487,0.6233766233766234,37.0,0.375,0.72,0.4931506849315068,25.0,0.7462419911555724,0.7521252671164489,0.799647473560517,0.5013873473917869,0.8739331436699858,0.81,0.799647473560517,0.5013873473917869,0.8739331436699858,0.81,0.7521252671164489
GoogleNet,53.96825396825397,1.771993117988425,0.5331738437001594,0.57895206527282,0.519874879132988,0.5485905721494694,0.5396825396825397,0.5165491294864911,0.6103896103896104,0.6351351351351351,0.6225165562913907,74.0,0.4,0.1509433962264151,0.2191780821917808,53.0,0.7714285714285715,0.7297297297297297,0.75,37.0,0.3508771929824561,0.8,0.4878048780487805,25.0,0.7235125732035134,0.7236639511771787,0.7585193889541715,0.4741953385127635,0.854018492176387,0.8073170731707316,0.7585193889541715,0.4741953385127635,0.854018492176387,0.8073170731707316,0.7236639511771787
EfficientNet-B1,51.851851851851855,1.8052329960323512,0.5051752623908821,0.5961397246302906,0.5155113896438088,0.5096512906899087,0.5185185185185185,0.4915702924506228,0.6031746031746031,0.5135135135135135,0.5547445255474452,74.0,0.2307692307692307,0.1132075471698113,0.1518987341772152,53.0,0.8157894736842105,0.8378378378378378,0.8266666666666667,37.0,0.3709677419354839,0.92,0.5287356321839081,25.0,0.7560623746029059,0.7243638196019149,0.7204465334900118,0.5357935627081021,0.9187411095305832,0.8492682926829268,0.7204465334900118,0.5357935627081021,0.9187411095305832,0.8492682926829268,0.7243638196019149
VGG16,51.851851851851855,3.3470146138832053,0.3868621914227231,0.4118995410504844,0.3972620021822149,0.4855579395025496,0.5185185185185185,0.4996285760470157,0.8414634146341463,0.9324324324324323,0.8846153846153846,74.0,0.2439024390243902,0.1886792452830188,0.2127659574468085,53.0,0.4186046511627907,0.4864864864864865,0.45,37.0,0.0434782608695652,0.04,0.0416666666666666,25.0,0.5908337852726527,0.666209419295839,0.963337250293772,0.4206437291897891,0.7025248933143671,0.2768292682926829,0.963337250293772,0.4206437291897891,0.7025248933143671,0.2768292682926829,0.666209419295839
EfficientFormer-L3,51.32275132275132,2.2611003231119224,0.5413186944355814,0.6031820499745029,0.526089118378275,0.565832853260862,0.5132275132275133,0.496297551000171,0.5806451612903226,0.2432432432432432,0.3428571428571428,74.0,0.5531914893617021,0.490566037735849,0.52,53.0,0.7391304347826086,0.918918918918919,0.8192771084337349,37.0,0.2923076923076923,0.76,0.4222222222222222,25.0,0.7921388877333166,0.7437921670725904,0.6231492361927145,0.745976692563818,0.9562588904694168,0.843170731707317,0.6231492361927145,0.745976692563818,0.9562588904694168,0.843170731707317,0.7437921670725904
