Model,Overall_Accuracy,Overall_Loss,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1,HGC_Precision,HGC_Recall,HGC_F1,HGC_Support,LGC_Precision,LGC_Recall,LGC_F1,LGC_Support,NST_Precision,NST_Recall,NST_F1,NST_Support,NTL_Precision,NTL_Recall,NTL_F1,NTL_Support,Macro_AUC,Micro_AUC,HGC_AUC,LGC_AUC,NST_AUC,NTL_AUC,HGC_Plot_AUC,LGC_Plot_AUC,NST_Plot_AUC,NTL_Plot_AUC,Micro_Avg_Plot_AUC
EfficientNet-B6,67.72486772486772,3.833005640872572,0.5387147335423197,0.5828021417644059,0.5349908887019905,0.6147103216068733,0.6772486772486772,0.6153148422562497,0.6272727272727273,0.9324324324324323,0.75,74.0,0.8275862068965517,0.4528301886792453,0.5853658536585366,53.0,0.7,0.945945945945946,0.8045977011494253,37.0,0.0,0.0,0.0,25.0,0.8451755794311696,0.8616826703246456,0.8666862514688602,0.8827691453940066,0.965149359886202,0.6660975609756097,0.8666862514688602,0.8827691453940066,0.965149359886202,0.6660975609756097,0.8616826703246456
EfficientNet-B5,59.25925925925926,1.4734616872494817,0.6038816738816739,0.5869658337582866,0.5822575482769657,0.6395251074616153,0.5925925925925926,0.6075302413721276,0.7272727272727273,0.6486486486486487,0.6857142857142857,74.0,0.52,0.490566037735849,0.5048543689320388,53.0,0.8571428571428571,0.6486486486486487,0.7384615384615385,37.0,0.3111111111111111,0.56,0.4,25.0,0.7909536434241382,0.8105036253184401,0.8349001175088131,0.7620699223085461,0.7748933143669987,0.7919512195121952,0.8349001175088131,0.7620699223085461,0.7748933143669987,0.7919512195121952,0.8105036253184401
EfficientFormer-L3,59.25925925925926,1.7944570092297103,0.6117682580278487,0.6146812850586435,0.5697646075225405,0.6327961136145279,0.5925925925925926,0.5844301402490074,0.6944444444444444,0.6756756756756757,0.684931506849315,74.0,0.5434782608695652,0.4716981132075472,0.5050505050505051,53.0,0.7647058823529411,0.3513513513513513,0.4814814814814814,37.0,0.4444444444444444,0.96,0.6075949367088608,25.0,0.7904773661996025,0.78827580414882,0.7405405405405405,0.6503884572697003,0.8261024182076814,0.9448780487804878,0.7405405405405405,0.6503884572697003,0.8261024182076814,0.9448780487804878,0.78827580414882
GoogleNet_with_ImagingType,55.55555555555556,1.4965782405207395,0.5450572058302321,0.5766420193778684,0.5153663389513108,0.5812975491947228,0.5555555555555556,0.5360580276638328,0.7236842105263158,0.7432432432432432,0.7333333333333333,74.0,0.4090909090909091,0.1698113207547169,0.24,53.0,0.7037037037037037,0.5135135135135135,0.59375,37.0,0.34375,0.88,0.4943820224719101,25.0,0.838747978137932,0.8178662411466645,0.8866039952996475,0.7438956714761377,0.8481507823613087,0.8763414634146343,0.8866039952996475,0.7438956714761377,0.8481507823613087,0.8763414634146343,0.8178662411466645
MViT-V2-Small_with_ImagingType,52.91005291005291,1.3334015399690655,0.5374854862119013,0.568727689954105,0.5103871961852076,0.5966264273811444,0.5291005291005291,0.5242249468169579,0.74,0.5,0.5967741935483871,74.0,0.5769230769230769,0.2830188679245283,0.379746835443038,53.0,0.55,0.8918918918918919,0.6804123711340206,37.0,0.2830188679245283,0.6,0.3846153846153846,25.0,0.7952779294112999,0.7647975513936713,0.7898942420681551,0.7548557158712542,0.9251422475106686,0.7112195121951219,0.7898942420681551,0.7548557158712542,0.9251422475106686,0.7112195121951219,0.7647975513936713
EfficientFormer-L1,52.38095238095238,2.3906402562661144,0.4774321266968326,0.4977231004589494,0.4529994225910749,0.535477267830209,0.5238095238095238,0.4949548659263712,0.6538461538461539,0.6891891891891891,0.6710526315789473,74.0,0.5294117647058824,0.1698113207547169,0.2571428571428571,53.0,0.55,0.8918918918918919,0.6804123711340206,37.0,0.1764705882352941,0.24,0.2033898305084746,25.0,0.6793636191919039,0.6992618721013784,0.7507638072855464,0.5166481687014428,0.915896159317212,0.5341463414634147,0.7507638072855464,0.5166481687014428,0.915896159317212,0.5341463414634147,0.6992618721013784
DenseNet-201,51.851851851851855,1.6811487107049852,0.5495394140742977,0.5902345741968384,0.5401234567901234,0.5629631227637872,0.5185185185185185,0.5162322816643805,0.6046511627906976,0.3513513513513513,0.4444444444444444,74.0,0.4363636363636363,0.4528301886792453,0.4444444444444444,53.0,0.8,0.7567567567567568,0.7777777777777778,37.0,0.3571428571428571,0.8,0.4938271604938271,25.0,0.7625921592637479,0.7574535987234401,0.6381903642773209,0.6856270810210876,0.8931365576102417,0.8334146341463414,0.6381903642773209,0.6856270810210876,0.8931365576102417,0.8334146341463414,0.7574535987234401
AlexNet,51.32275132275132,1.497093776546458,0.489945164125492,0.4975318714941356,0.4751724298557889,0.5473994736289819,0.5132275132275133,0.5130202821146442,0.6229508196721312,0.5135135135135135,0.562962962962963,74.0,0.6666666666666666,0.4528301886792453,0.5393258426966292,53.0,0.4393939393939394,0.7837837837837838,0.5631067961165048,37.0,0.2307692307692307,0.24,0.2352941176470588,25.0,0.7021033430361143,0.7055793510819965,0.6054641598119859,0.8272058823529412,0.8428165007112376,0.5329268292682927,0.6054641598119859,0.8272058823529412,0.8428165007112376,0.5329268292682927,0.7055793510819965
EfficientNet-B3,49.20634920634921,2.0219171387808665,0.4967950880754831,0.4948546659867415,0.4724135225601501,0.5648745405041541,0.492063492063492,0.5045699764500676,0.6808510638297872,0.4324324324324324,0.5289256198347108,74.0,0.5945945945945946,0.4150943396226415,0.4888888888888889,53.0,0.5892857142857143,0.8918918918918919,0.7096774193548387,37.0,0.1224489795918367,0.24,0.1621621621621621,25.0,0.7469159161210522,0.7497457144723458,0.7742655699177438,0.702968923418424,0.9384779516358464,0.5719512195121951,0.7742655699177438,0.702968923418424,0.9384779516358464,0.5719512195121951,0.7497457144723458
EfficientNet-B4,49.20634920634921,2.4712622203524153,0.4567736185383244,0.5511269760326365,0.4858246536892289,0.4606522743777645,0.492063492063492,0.4621438544178666,0.5666666666666667,0.4594594594594595,0.5074626865671642,74.0,0.2058823529411764,0.1320754716981132,0.160919540229885,53.0,0.6545454545454545,0.972972972972973,0.782608695652174,37.0,0.4,0.64,0.4923076923076923,25.0,0.7867704210975706,0.7433629144387524,0.692126909518214,0.6476137624861265,0.9822190611664297,0.8251219512195123,0.692126909518214,0.6476137624861265,0.9822190611664297,0.8251219512195123,0.7433629144387524
